"id","account_id","legacy_id","ear_tag","ear_tag_loc","tattoo_left","tattoo_right","brand","brand_loc","name","ph_number","ph_number_loc","reg_num","reg_num_2","other_id","other_id_loc","electronic_id","animal_type","sex","category_id","breed_id","horn_status","color_markings","ocv_tattoo","ocv_number","status","pasture_id","sire_animal_id","dam_animal_id","genetic_dam_animal_id","real_dam_animal_id","sire_legacy_id","dam_legacy_id","genetic_dam_legacy_id","breeder_contact_id","birth_date","weaning_date","yearling_date","percent_dam_weight","conception_method","grafted_calf","purchase_date","purchased","purchased_from_contact_id","purchase_price","sale_ticket_id","sale_price","sale_weight","marketing_cost","reason_for_sale","death_date","cause_of_death","asking_price","marketing_comments","mppa","avg_calving_interval","avg_post_partum_interval","last_breeding_date","last_calving_date","current_breeding_status","next_calving_date","pelvic_area","pelvic_horizontal","pelvic_vertical","comments","donor_cow","ai_bull","promote_date","demote_date","birth_weight","weaning_weight","yearling_weight","adj_birth_weight","adj_weaning_weight","adj_yearling_weight","last_tip_to_tip","last_total_horn","last_base","last_composite","last_horn_measure_date","last_weight","last_height","last_bcs","last_weight_date","created_at","updated_at","embryo_recovery_date","nait_number","nlis_number","last_treatment_date","withdrawal_date","castration_date","next_booster_date","breeding_id","pelvic_measure_date","embryo_transfer_date"
"33953055","48210","","20E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Black w/Mottled White Face","","","Active","443994","28079199","22302635","","22302635","","","","1448677","2017-02-09","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","66","","","","","","","","","","","66","","","2017-02-09","2017-02-09 16:19:19 -0600","2017-02-11 16:19:58 -0600","","","","","","","","","",""
"33962808","48210","","22E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","403501","28079199","19610787","","19610787","","","","1448677","2017-02-10","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","78","","","78","","","","","","","","78","","","2017-02-10","2017-02-10 10:04:12 -0600","2017-02-10 10:05:50 -0600","","","","","","","","21373416","",""
"33962832","48210","","23E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","403501","28079199","20629108","","20629108","","","","1448677","2017-02-10","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","81","","","81","","","","","","","","81","","","2017-02-10","2017-02-10 10:07:35 -0600","2017-02-15 18:50:16 -0600","","","","","","","","21373149","",""
"33969663","48210","","24E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Active","403501","28079199","22047349","","22047349","","","","1448677","2017-02-10","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","84","","","86","","","","","","","","84","","","2017-02-10","2017-02-11 08:27:05 -0600","2017-02-11 08:27:05 -0600","","","","","","","","21373167","",""
"33969669","48210","","134E-WHITE","LE","","","","","","","","","","","","982000376416844","Calf","Bull","","953217","Dehorned","Solid Black","","","Active","403501","25760039","21819736","","21819736","","","","1448677","2017-02-11","2017-09-25","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","75","488","","77","470","","","","","","","488","","","2017-09-25","2017-02-11 08:28:17 -0600","2017-09-25 09:24:41 -0500","","","","2017-09-19","","","","20336070","",""
"33969693","48210","","25E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","463317","22294328","27330220","","27330220","","","","1448677","2017-02-11","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","81","","","86","","","","","","","","81","","","2017-02-11","2017-02-11 08:36:30 -0600","2017-02-12 06:58:43 -0600","","","","","","","","","",""
"33969699","48210","","26E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Sold","","28079199","24289388","","24289388","","","","1448677","2017-02-11","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","71","","","79","","","","","","","","71","","","2017-02-11","2017-02-11 08:38:13 -0600","2017-09-19 07:18:12 -0500","","","","","","","","21373635","",""
"33969858","48210","","","","","","","","","","","","","","","","Calf","","","953217","Polled","Solid Black","","","Dead","","30892569","28060488","","28060488","","","","1448677","2017-02-06","","","","NS","false","","false","","","","","","","","2017-02-06","Born Dead","","","","","","","","","","","","","","false","false","","","","","","","","","","","","","","","","","","2017-02-11 09:03:03 -0600","2017-02-11 09:04:10 -0600","","","","","","","","20478837","",""
"33972693","48210","","","","","","","","","","","","","","","","Calf","","","953217","Polled","Solid Black","","","Dead","","","27330223","","27330223","","","","1448677","","","","","NS","false","","false","","","","","","","","2017-02-10","Born Dead","","","","","","","","","","","","","","false","false","","","","","","","","","","","","","","","","","","2017-02-11 16:20:32 -0600","2017-02-11 16:21:17 -0600","","","","","","","","","",""
"33972720","48210","","5E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Active","","28079199","27330187","","27330187","","","","1448677","2017-02-04","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","62","","","67","","","","","","","","62","","","2017-02-04","2017-02-11 16:23:45 -0600","2017-02-12 06:58:23 -0600","","","","","","","","","",""
"33975204","48210","","135E-WHITE","LE","","","","","","","","","","","","982000376416800","Calf","Bull","","953217","Polled","Solid Black","","","Active","403501","25760039","21818413","","21818413","","","","1448677","2017-02-11","2017-09-25","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","91","594","","91","547","","","","","","","594","","","2017-09-25","2017-02-11 23:10:00 -0600","2017-09-25 09:24:41 -0500","","","","2017-09-19","","","","20336064","",""
"33975207","48210","","27E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Sold","","28079199","24513134","","24513134","","","","1448677","2017-02-11","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","64","","","69","","","","","","","","64","","","2017-02-11","2017-02-11 23:11:02 -0600","2017-09-19 07:05:13 -0500","","","","","","","","21373650","",""
"33975210","48210","","28E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Black w/Mottled White Face","","","Active","492651","28079199","22047382","","22047382","","","","1448677","2017-02-11","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","71","","","","","","","","","","","71","","","2017-02-11","2017-02-11 23:13:16 -0600","2017-09-29 19:47:10 -0500","","","","","","","","21373173","",""
"33975222","48210","","133E-WHITE","LE","","","","","","","","","","","","982000376416804","Calf","Heifer","","953217","Polled","Solid Black","","","Sold","","25760039","21818383","","21818383","","","","1448677","2017-02-03","2017-09-25","","","NS","false","","false","","","1189848","256.0","160","21.33"," Calf Sale","","","","","","","","","","","","","","","","false","false","","","53","459","","53","409","","","","","","","459","","","2017-09-25","2017-02-11 23:15:17 -0600","2018-01-26 11:56:13 -0600","","","","2017-09-19","","","","20336061","",""
"33975234","48210","","15E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Sold","","","22189510","","22189510","","","","1448677","2017-02-07","","","","NS","false","","false","","","1094778","369.0","205","19.7","","","","","","","","","","","","","","","","","false","false","","","80","","","","","","","","","","","80","","","2017-02-07","2017-02-11 23:17:25 -0600","2017-05-02 18:05:03 -0500","","","","","","","","21373182","",""
"33981759","48210","","29E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Light Red","","","Sold","","28079199","24289385","","24289385","","","","1448677","2017-02-12","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","76","","","84","","","","","","","","76","","","2017-02-12","2017-02-12 19:03:59 -0600","2017-09-19 07:15:00 -0500","","","","","","","","21373629","",""
"33981768","48210","","30E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Active","492651","28079199","24289355","","24289355","","","","1448677","2017-02-12","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","65","","","73","","","","","","","","65","","","2017-02-12","2017-02-12 19:05:03 -0600","2017-09-29 19:44:49 -0500","","","","","","","","21372915","",""
"33981783","48210","","31E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","403501","30892569","24384251","","24384251","","","","1448677","2017-02-12","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","57","","","65","","","","","","","","57","","","2017-02-12","2017-02-12 19:06:21 -0600","2017-02-15 18:53:38 -0600","","","","","","","","20478795","",""
"33981801","48210","","32E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Sold","","28079199","24289313","","24289313","","","","1448677","2017-02-12","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","60","","","68","","","","","","","","60","","","2017-02-12","2017-02-12 19:08:20 -0600","2017-09-19 07:16:27 -0500","","","","","","","","21372873","",""
"33982245","48210","","19E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Light Red","","","Active","443994","28079199","22020559","","22020559","","","","1448677","2017-02-09","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","70","","","70","","","","","","","","70","","","2017-02-09","2017-02-12 19:20:45 -0600","2017-02-12 19:22:21 -0600","","","","","","","","","",""
"33993837","48210","","33E-WHITE","","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","403501","30892569","28060479","","28060479","","","","1448677","2017-02-13","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","59","","","67","","","","","","","","59","","","2017-02-13","2017-02-13 10:06:05 -0600","2017-02-15 18:54:53 -0600","","","","","","","","20478828","",""
"34017444","48210","","34E-WHITE","LE","","","","","","","","","","","","","Calf","Steer","","958480","Polled","Solid Black","","","Active","403501","30892569","23911661","","23911661","","","","1448677","2017-02-14","2017-09-25","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","72","596","","80","614","","","","","","","596","","","2017-09-25","2017-02-14 22:26:05 -0600","2017-10-02 07:02:44 -0500","","","","","","","","20478783","",""
