"id","animal_id","moved_from_pasture_id","moved_to_pasture_id","movement_date"
"57000204","24513119","403501","328918","2015-11-16"
"57000207","24513122","403501","328918","2015-11-16"
"57000210","24513125","403501","328918","2015-11-16"
"57000213","24513128","403501","328918","2015-11-16"
"57000216","24513131","403501","328918","2015-11-16"
"57000219","24513134","403501","328918","2015-11-16"
"57000222","24513137","403501","328918","2015-11-16"
"57000225","24513140","403501","328918","2015-11-16"
"57000228","24513143","403501","328918","2015-11-16"
"57000231","24513146","403501","328918","2015-11-16"
"57000234","24513149","403501","328918","2015-11-16"
"57000237","24513152","403501","328918","2015-11-16"
"57000240","24513155","403501","328918","2015-11-16"
"57000243","24513158","403501","328918","2015-11-16"
"57000246","24513161","403501","328918","2015-11-16"
"57000249","24513164","403501","328918","2015-11-16"
"57000252","24513167","403501","328918","2015-11-16"
"57000255","24513170","403501","328918","2015-11-16"
"57000258","24513173","403501","328918","2015-11-16"
"57000261","24513176","403501","328918","2015-11-16"
"57000264","24513179","403501","328918","2015-11-16"
"57000267","24513182","403501","328918","2015-11-16"
"57000270","24513185","403501","328918","2015-11-16"
"57000273","24513188","403501","328918","2015-11-16"
"57000276","24513191","403501","328918","2015-11-16"
"57000279","24513194","403501","328918","2015-11-16"
"57000282","26030210","403501","328918","2015-11-16"
"57000285","26030204","403501","328918","2015-11-16"
"57000288","27897393","0","328918","2015-11-16"
"57000291","27897402","0","328918","2015-11-16"
"57000300","28222293","0","328918","2015-11-16"
"57003285","28224786","0","328918","2015-11-27"
"57006996","23911661","338297","430668","2015-11-27"
"57006999","24289271","338297","430668","2015-11-27"
"57007002","24299582","338297","430668","2015-11-27"
"57007005","24384251","338297","430668","2015-11-27"
"57007008","24503801","338297","430668","2015-11-27"
"57007011","25315314","327829","430668","2015-11-27"
"57007014","25315323","328918","430668","2015-11-27"
"57007017","25382777","328918","430668","2015-11-27"
"57007020","25384562","328918","430668","2015-11-27"
"57007023","25578131","328918","430668","2015-11-27"
"57007026","25656836","327829","430668","2015-11-27"
"57007029","25873070","328918","430668","2015-11-27"
"57007032","28060479","0","430668","2015-11-27"
"57007035","28060482","0","430668","2015-11-27"
"57007038","28060485","0","430668","2015-11-27"
"57007041","28060488","0","430668","2015-11-27"
"57007044","28060491","0","430668","2015-11-27"
"57007047","28060494","0","430668","2015-11-27"
"57007050","28060497","0","430668","2015-11-27"
"57007053","28060500","0","430668","2015-11-27"
