ID	EAR TAG	TYPE	SEX	DOB	BREED
27897390	887/3	COW	HEIFER	2005	BRAHMAN
27897393	32/9	COW	HEIFER	2009	BRAHMAN
27897399	FORTUNE	COW	HEIFER		BRAHMAN
27897402	128/7	COW	HEIFER	2005	BRAHMAN
27897411	922/3	COW	HEIFER	2005	BRAHMAN
28060479	511C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060482	529C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060485	524C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060488	522C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060491	531C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060494	517C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060497	525C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060500	540C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060503	510C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060506	561C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060509	527C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28060512	185C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28079199	25C-CAN	CALF	BULL	2015	CHAROLAIS
28079202	16C-CAN	CALF	BULL	2015	CHAROLAIS
28079205	28C-CAN	CALF	BULL	2015	CHAROLAIS
28079208	30C-CAN	CALF	BULL	2015	CHAROLAIS
28079214	36C-CAN	CALF	BULL	2015	CHAROLAIS
28079217	37C-CAN	CALF	BULL	2015	CHAROLAIS
28079220	44C-CAN	CALF	BULL	2015	CHAROLAIS
28079223	52C-CAN	CALF	BULL	2015	CHAROLAIS
28079226	53C-CAN	CALF	BULL	2015	CHAROLAIS
28079229	54C-CAN	CALF	BULL	2015	CHAROLAIS
28079232	55C-CAN	CALF	BULL	2015	CHAROLAIS
28165191	5C-CAN	CALF	BULL	2015	CHAROLAIS
28186509	NEEDS TAG	CALF		2015	COMMERCIAL
28222290	15-WHITE	BULL	BULL		ANGUS
28260093	NEEDS TAG	CALF		2015	COMMERCIAL
28341351	50C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28358352	56C-WHITE	CALF	BULL	2015	CHAROLAIS
28434480	53C-WHITE	CALF	BULL	2015	CHAROLAIS
28453236	10-WHITE	CALF		2015	COMMERCIAL
28469601	57C-WHITE	CALF	BULL	2015	CHAROLAIS
28474710	51C-WHITE	CALF	BULL	2015	CHAROLAIS
28475673	58C-WHITE	CALF	HEIFER	2015	CHAROLAIS
28552461	NEEDS TAG	CALF		2015	COMMERCIAL
28552542		CALF		2015	COMMERCIAL
29128011	1D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29344287	2D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29359116	51D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29359122	52D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29366967	4D-WHITE	CALF	BULL	2016	CHAROLAIS
29366970	5D-WHITE	CALF	BULL	2016	CHAROLAIS
29367111	3D-WHITE	CALF	BULL	2016	CHAROLAIS
29378331	6D-WHITE	CALF	BULL	2016	CHAROLAIS
29400993	23D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29401005	22D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29401008	7D-WHITE	CALF	BULL	2016	CHAROLAIS
29457861	20D-WHITE	CALF		2016	CHAROLAIS
29696520	24D-WHITE	CALF	BULL	2016	COMMERCIAL
29696709	25D-WHITE	CALF	BULL	2016	COMMERCIAL
29745381	26D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29767632	27D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29779866	28D-WHITE	CALF	BULL	2016	COMMERCIAL
29788551	30D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29793636	31D-WHITE	CALF	BULL	2016	COMMERCIAL
29793654	NEEDS TAGGING	BULL	BULL	2016	COMMERCIAL
29809692	31D-WHITE	CALF	BULL	2016	COMMERCIAL
29860620	36D-WHITE	CALF	BULL	2016	COMMERCIAL
29860632	34D-WHITE	CALF	BULL	2016	COMMERCIAL
29860647	35D-WHITE	CALF	BULL	2016	COMMERCIAL
29872293	37D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29890509	38D-WHITE	CALF	BULL	2016	COMMERCIAL
29890512	49D-WHITE	CALF	BULL	2016	COMMERCIAL
29911653	41D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29914143	99D-WHITE	CALF	HEIFER	2016	COMMERCIAL
29919570	39D-WHITE	CALF	BULL	2016	COMMERCIAL
29928903	42D-WHITE	CALF	BULL	2016	COMMERCIAL
29928915	11D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29928924	12D-WHITE	CALF	HEIFER	2016	CHAROLAIS
29928933	44D-WHITE	CALF		2016	COMMERCIAL
29933877	13D-WHITE	CALF	BULL	2016	CHAROLAIS
29975862	43D-WHITE	CALF	BULL	2016	COMMERCIAL
29975880	53D-WHITE	CALF	BULL	2016	COMMERCIAL
29989410	54D-WHITE	CALF	HEIFER	2016	COMMERCIAL
